id,confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr
6541,1,1,0,0,1,1,20200124,0,0,0,0
6542,3,2,0,0,3,2,20200125,0,0,0,0
6543,3,0,0,0,3,0,20200126,0,0,0,0
6544,4,1,0,0,4,1,20200127,0,0,0,0
6545,7,3,0,0,7,3,20200128,0,0,0,0
6546,7,0,0,0,7,0,20200129,0,0,0,0
6547,10,3,0,0,10,3,20200130,0,0,0,0
6548,13,3,0,0,13,3,20200131,0,0,0,0
6549,16,3,0,0,16,3,20200201,0,0,0,0
6550,18,2,0,0,18,2,20200202,0,0,0,0
6551,18,0,0,0,18,0,20200203,0,0,0,0
6552,18,0,0,0,18,0,20200204,0,0,0,0
6553,24,6,0,0,24,6,20200205,0,0,0,0
6554,28,4,0,0,28,4,20200206,0,0,0,0
6555,30,2,0,0,30,2,20200207,0,0,0,0
6556,33,3,0,0,33,3,20200208,0,0,0,0
6557,40,7,0,0,40,7,20200209,0,0,0,0
6558,43,3,0,0,43,3,20200210,0,0,0,0
6559,45,2,0,0,45,2,20200211,0,0,0,0
6560,47,2,0,0,47,2,20200212,0,0,0,0
6561,50,3,0,0,50,3,20200213,0,0,0,0
6562,58,8,0,0,58,8,20200214,0,0,0,0
6563,67,9,0,0,67,9,20200215,0,0,0,0
6564,72,5,0,0,72,5,20200216,0,0,0,0
6565,75,3,0,0,75,3,20200217,0,0,0,0
6566,77,2,0,0,77,2,20200218,0,0,0,0
6567,81,4,0,0,81,4,20200219,0,0,0,0
6568,84,3,0,0,84,3,20200220,0,0,0,0
6569,85,1,0,0,85,1,20200221,0,0,0,0
6570,86,1,0,0,86,1,20200222,0,0,0,0
6571,89,3,0,0,89,3,20200223,0,0,0,0
6572,89,0,0,0,89,0,20200224,0,0,0,0
6573,90,1,0,0,90,1,20200225,0,0,0,0
6574,91,1,0,0,91,1,20200226,0,0,0,0
6575,93,2,0,0,93,2,20200227,0,0,0,0
6576,96,3,0,0,96,3,20200228,0,0,0,0
6577,98,2,0,0,98,2,20200229,0,0,0,0
6578,102,4,0,0,102,4,20200301,0,0,0,0
6579,106,4,0,0,106,4,20200302,0,0,0,0
6580,108,2,0,0,108,2,20200303,0,0,0,0
6581,110,2,0,0,110,2,20200304,0,0,0,0
6582,110,0,0,0,110,0,20200305,0,0,0,0
6583,117,7,0,0,117,7,20200306,0,0,0,0
6584,130,13,0,0,130,13,20200307,0,0,0,0
6585,138,8,0,0,138,8,20200308,0,0,0,0
6586,150,12,0,0,150,12,20200309,0,0,0,0
6587,160,10,0,0,160,10,20200310,0,0,0,0
6588,166,6,0,0,166,6,20200311,0,0,0,0
6589,178,12,0,0,178,12,20200312,0,0,0,0
6590,187,9,0,0,187,9,20200313,0,0,0,0
6591,200,13,0,0,200,13,20200314,0,0,0,0
6592,212,12,105,105,107,-93,20200315,0,0,0,0
6593,243,31,105,0,138,31,20200316,0,0,0,0
6594,243,0,105,0,138,0,20200317,0,0,0,0
6595,266,23,105,0,161,23,20200318,0,0,0,0
6596,345,79,124,19,221,60,20200319,0,0,0,0
6597,385,40,124,0,261,40,20200320,0,0,0,0
6598,432,47,140,16,290,29,20200321,2,2,0,0
6599,455,23,140,0,313,23,20200322,2,0,0,0
6600,509,54,152,12,355,42,20200323,2,0,0,0
6601,558,49,152,0,404,49,20200324,2,0,0,0
