id,confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr
18434,3,3,0,0,3,3,20200126,0,0,0,0
18435,4,1,0,0,4,1,20200127,0,0,0,0
18436,4,0,0,0,4,0,20200128,0,0,0,0
18437,4,0,0,0,4,0,20200129,0,0,0,0
18438,7,3,0,0,7,3,20200130,0,0,0,0
18439,8,1,0,0,8,1,20200131,0,0,0,0
18440,8,0,0,0,8,0,20200201,0,0,0,0
18441,8,0,0,0,8,0,20200202,0,0,0,0
18442,8,0,0,0,8,0,20200203,0,0,0,0
18443,10,2,0,0,10,2,20200204,0,0,0,0
18444,10,0,0,0,10,0,20200205,0,0,0,0
18445,12,2,0,0,12,2,20200206,0,0,0,0
18446,14,2,0,0,14,2,20200207,0,0,0,0
18447,15,1,0,0,15,1,20200208,0,0,0,0
18448,17,2,0,0,17,2,20200209,0,0,0,0
18449,18,1,0,0,18,1,20200210,0,0,0,0
18450,18,0,0,0,18,0,20200211,0,0,0,0
18451,18,0,0,0,18,0,20200212,0,0,0,0
18452,18,0,0,0,18,0,20200213,0,0,0,0
18453,19,1,0,0,19,1,20200214,0,0,0,0
18454,21,2,0,0,21,2,20200215,0,0,0,0
18455,22,1,0,0,22,1,20200216,0,0,0,0
18456,22,0,0,0,22,0,20200217,0,0,0,0
18457,22,0,0,0,22,0,20200218,0,0,0,0
18458,22,0,0,0,22,0,20200219,0,0,0,0
18459,22,0,0,0,22,0,20200220,0,0,0,0
18460,22,0,0,0,22,0,20200221,0,0,0,0
18461,22,0,0,0,22,0,20200222,0,0,0,0
18462,22,0,0,0,22,0,20200223,0,0,0,0
18463,22,0,0,0,22,0,20200224,0,0,0,0
18464,22,0,0,0,22,0,20200225,0,0,0,0
18465,22,0,0,0,22,0,20200226,0,0,0,0
18466,22,0,0,0,22,0,20200227,0,0,0,0
18467,24,2,0,0,24,2,20200228,0,0,0,0
18468,24,0,0,0,24,0,20200229,0,0,0,0
18469,24,0,0,0,24,0,20200301,0,0,0,0
18470,24,0,0,0,24,0,20200302,0,0,0,0
18471,29,5,0,0,29,5,20200303,0,0,0,0
18472,50,21,0,0,50,21,20200304,0,0,0,0
18473,50,0,0,0,50,0,20200305,0,0,0,0
18474,55,5,0,0,55,5,20200306,0,0,0,0
18475,83,28,0,0,83,28,20200307,0,0,0,0
18476,93,10,0,0,93,10,20200308,0,0,0,0
18477,93,0,0,0,93,0,20200309,0,0,0,0
18478,117,24,0,0,117,24,20200310,0,0,0,0
18479,129,12,0,0,129,12,20200311,0,0,0,0
18480,129,0,0,0,129,0,20200312,0,0,0,0
18481,129,0,0,0,129,0,20200313,0,0,0,0
18482,197,68,0,0,197,68,20200314,0,0,0,0
18483,238,41,32,32,206,9,20200315,0,0,0,0
18484,553,315,42,10,511,305,20200316,0,0,0,0
18485,553,0,49,7,504,-7,20200317,0,0,0,0
18486,553,0,60,11,493,-11,20200318,0,0,0,0
18487,900,347,60,0,838,345,20200319,2,2,0,0
18488,1030,130,87,27,940,102,20200320,3,1,0,0
18489,1183,153,114,27,1065,125,20200321,4,1,0,0
18490,1306,123,139,25,1157,92,20200322,10,6,0,0
18491,1518,212,139,0,1365,208,20200323,14,4,0,0
18492,1624,106,183,44,1426,61,20200324,15,1,0,0
18493,1796,172,199,16,1578,152,20200325,19,4,0,0
18494,2031,235,215,16,1793,215,20200326,23,4,0,0
18495,2161,130,259,44,1876,83,20200327,26,3,0,0
18496,2320,159,320,61,1973,97,20200328,27,1,0,0
18497,2470,150,388,68,2048,75,20200329,34,7,0,0
18498,2626,156,388,0,2204,156,20200330,34,0,0,0
18499,2766,140,537,149,2186,-18,20200331,43,9,0,0
18500,2908,142,645,108,2218,32,20200401,45,2,0,0
18501,3116,208,767,122,2299,81,20200402,50,5,0,0
18502,3333,217,827,60,2453,154,20200403,53,3,0,0
18503,3483,150,915,88,2511,58,20200404,57,4,0,0
18504,3662,179,1005,90,2596,85,20200405,61,4,0,0
18505,3793,131,1241,236,2490,-106,20200406,62,1,0,0
18506,3963,170,1321,80,2579,89,20200407,63,1,0,0
18507,4119,156,1487,166,2567,-12,20200408,65,2,0,0
18508,4228,109,1608,121,2553,-14,20200409,67,2,0,0
18509,4346,118,1830,222,2446,-107,20200410,70,3,0,0
18510,4530,184,1995,165,2462,16,20200411,73,3,0,0
18511,4683,153,2108,113,2499,37,20200412,76,3,0,0
18512,4817,134,2276,168,2464,-35,20200413,77,1,0,0
18513,4987,170,2478,202,2427,-37,20200414,82,5,0,0
18514,5072,85,2647,169,2343,-84,20200415,82,0,0,0
18515,5182,110,2766,119,2332,-11,20200416,84,2,0,0
18516,5251,69,2967,201,2198,-134,20200417,86,2,0,0
18517,5305,54,3102,135,2115,-83,20200418,88,2,0,0
18518,5389,84,3197,95,2103,-12,20200419,89,1,0,0
18519,5425,36,3295,98,2041,-62,20200420,89,0,0,0
18520,5482,57,3349,54,2041,0,20200421,92,3,0,0
18521,5532,50,3452,103,1987,-54,20200422,93,1,0,0
18522,5603,71,3542,90,1966,-21,20200423,95,2,0,0
18523,5691,88,3663,121,1932,-34,20200424,96,1,0,0
18524,5742,51,3762,99,1882,-50,20200425,98,2,0,0
18525,5780,38,3762,0,1918,36,20200426,100,2,0,0
18526,5820,40,3957,195,1764,-154,20200427,99,-1,0,0
18527,5851,31,4032,75,1719,-45,20200428,100,1,0,0
