id,confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr
14751,217,217,25,25,188,188,20200119,4,4,0,0
14752,291,74,25,0,260,72,20200120,6,2,0,0
14753,440,149,25,0,406,146,20200121,9,3,0,0
14754,571,131,28,3,526,120,20200122,17,8,0,0
14755,835,264,34,6,776,250,20200123,25,8,0,0
14756,1297,462,38,4,1218,442,20200124,41,16,0,0
14757,1985,688,49,11,1880,662,20200125,56,15,0,0
14758,2762,777,51,2,2631,751,20200126,80,24,0,0
14759,4535,1773,60,9,4369,1738,20200127,106,26,0,0
14760,5999,1464,103,43,5764,1395,20200128,132,26,0,0
14761,7736,1737,124,21,7442,1678,20200129,170,38,0,0
14762,9720,1984,171,47,9336,1894,20200130,213,43,0,0
14763,11821,2101,243,72,11319,1983,20200131,259,46,0,0
14764,14411,2590,328,85,13779,2460,20200201,304,45,0,0
14765,17238,2827,475,147,16402,2623,20200202,361,57,0,0
14766,20471,3233,632,157,19414,3012,20200203,425,64,0,0
14767,24363,3892,892,260,22980,3566,20200204,491,66,0,0
14768,28060,3697,1153,261,26343,3363,20200205,564,73,0,0
14769,31211,3151,1542,389,29032,2689,20200206,637,73,0,0
14770,34598,3387,2052,510,31823,2791,20200207,723,86,0,0
14771,37251,2653,2651,599,33788,1965,20200208,812,89,0,0
14772,40174,2923,3283,632,35982,2194,20200209,909,97,0,0
14773,42641,2467,3998,715,37626,1644,20200210,1017,108,0,0
14774,44656,2015,4742,744,38800,1174,20200211,1114,97,0,0
14775,60921,16265,5915,1173,53638,14838,20200212,1368,254,0,0
14776,63932,3011,6728,813,55823,2185,20200213,1381,13,0,0
14777,66576,2644,8101,1373,56951,1128,20200214,1524,143,0,0
14778,68584,2008,9425,1324,57493,542,20200215,1666,142,0,0
14779,70635,2051,10853,1428,58010,517,20200216,1772,106,0,0
14780,72528,1893,12561,1708,58097,87,20200217,1870,98,0,0
14781,74279,1751,14387,1826,57886,-211,20200218,2006,136,0,0
14782,75101,822,16170,1783,56810,-1076,20200219,2121,115,0,0
14783,75993,892,18279,2109,55475,-1335,20200220,2239,118,0,0
14784,76392,399,20673,2394,53371,-2104,20200221,2348,109,0,0
14785,77041,649,22907,2234,51689,-1682,20200222,2445,97,0,0
14786,77262,221,24757,1850,49910,-1779,20200223,2595,150,0,0
14787,77779,517,27353,2596,47760,-2150,20200224,2666,71,0,0
14788,78190,411,29775,2422,45697,-2063,20200225,2718,52,0,0
14789,78630,440,32531,2756,43352,-2345,20200226,2747,29,0,0
14790,78959,329,36157,3626,40011,-3341,20200227,2791,44,0,0
14791,79389,430,39049,2892,37502,-2509,20200228,2838,47,0,0
14792,79968,579,41675,2626,35420,-2082,20200229,2873,35,0,0
14793,80174,206,44518,2843,32741,-2679,20200301,2915,42,0,0
14794,80302,128,47260,2742,30096,-2645,20200302,2946,31,0,0
14795,80422,120,49914,2654,27524,-2572,20200303,2984,38,0,0
14796,80565,143,52109,2195,25441,-2083,20200304,3015,31,20,20
14797,80710,145,53793,1684,23872,-1569,20200305,3045,30,36,16
14798,80813,103,55477,1684,22263,-1609,20200306,3073,28,60,24
14799,80859,46,57143,1666,20616,-1647,20200307,3100,27,63,3
14800,80904,45,58684,1541,19097,-1519,20200308,3123,23,67,4
14801,80924,20,59982,1298,17802,-1295,20200309,3140,17,69,2
14802,80955,31,61567,1585,16226,-1576,20200310,3162,22,79,10
14803,80980,25,62887,1320,14920,-1306,20200311,3173,11,85,6
14804,81003,23,64216,1329,13607,-1313,20200312,3180,7,88,3
14805,81021,18,65649,1433,12178,-1429,20200313,3194,14,95,7
14806,81048,27,67022,1373,10822,-1356,20200314,3204,10,111,16
14807,81077,29,67863,841,9996,-826,20200315,3218,14,123,12
