id,confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,,,,
10897,1,1,0,0,1,1,20200121,0,0,0,0,,,,
10898,1,0,0,0,1,0,20200122,0,0,0,0,,,,
10899,1,0,0,0,1,0,20200123,0,0,0,0,,,,
10900,1,0,0,0,1,0,20200124,0,0,0,0,,,,
10901,3,2,0,0,3,2,20200125,0,0,0,0,,,,
10902,3,0,0,0,3,0,20200126,0,0,0,0,,,,
10903,4,1,0,0,4,1,20200127,0,0,0,0,,,,
10904,6,2,0,0,6,2,20200128,0,0,0,0,,,,
10905,7,1,0,0,7,1,20200129,0,0,0,0,,,,
10906,11,4,0,0,11,4,20200130,0,0,0,0,,,,
10907,14,3,0,0,14,3,20200131,0,0,0,0,,,,
10908,17,3,0,0,17,3,20200201,0,0,0,0,,,,
10909,20,3,0,0,20,3,20200202,0,0,0,0,,,,
10910,20,0,0,0,20,0,20200203,0,0,0,0,,,,
10911,20,0,0,0,20,0,20200204,0,0,0,0,,,,
10912,33,13,0,0,33,13,20200205,0,0,0,0,,,,
10913,25,-8,0,0,25,-8,20200206,0,0,0,0,,,,
10914,25,0,0,0,25,0,20200207,0,0,0,0,,,,
10915,25,0,0,0,25,0,20200208,0,0,0,0,,,,
10916,26,1,0,0,26,1,20200209,0,0,0,0,,,,
10917,26,0,0,0,26,0,20200210,0,0,0,0,,,,
10918,26,0,0,0,26,0,20200211,0,0,0,0,,,,
10919,28,2,0,0,28,2,20200212,0,0,0,0,,,,
10920,29,1,0,0,29,1,20200213,0,0,0,0,,,,
10921,33,4,0,0,32,3,20200214,1,1,0,0,,,,
10922,41,8,0,0,40,8,20200215,1,0,0,0,,,,
10923,53,12,0,0,52,12,20200216,1,0,0,0,,,,
10924,59,6,0,0,58,6,20200217,1,0,0,0,,,,
10925,65,6,0,0,64,6,20200218,1,0,0,0,,,,
10926,73,8,0,0,72,8,20200219,1,0,0,0,,,,
10927,85,12,0,0,84,12,20200220,1,0,0,0,,,,
10928,93,8,0,0,92,8,20200221,1,0,0,0,,,,
10929,105,12,0,0,104,12,20200222,1,0,0,0,,,,
10930,132,27,0,0,131,27,20200223,1,0,0,0,,,,
10931,144,12,0,0,143,12,20200224,1,0,0,0,,,,
10932,157,13,0,0,156,13,20200225,1,0,0,0,,,,
10933,164,7,0,0,163,7,20200226,1,0,0,0,,,,
10934,186,22,0,0,183,20,20200227,3,2,0,0,,,,
10935,210,24,0,0,206,23,20200228,4,1,0,0,,,,
10936,230,20,0,0,225,19,20200229,5,1,0,0,,,,
10937,239,9,0,0,234,9,20200301,5,0,0,0,,,,
10938,254,15,0,0,248,14,20200302,6,1,0,0,,,,
10939,268,14,0,0,262,14,20200303,6,0,0,0,,,,
10940,284,16,0,0,278,16,20200304,6,0,0,0,,,,
10941,317,33,0,0,311,33,20200305,6,0,0,0,,,,
10942,349,32,0,0,343,32,20200306,6,0,0,0,,,,
10943,408,59,0,0,402,59,20200307,6,0,0,0,,,,
10944,455,47,0,0,449,47,20200308,6,0,0,0,,,,
10945,488,33,0,0,481,32,20200309,7,1,0,0,,,,
10946,514,26,0,0,505,24,20200310,9,2,0,0,,,,
10947,568,54,0,0,556,51,20200311,12,3,0,0,,,,
10948,620,52,0,0,605,49,20200312,15,3,0,0,,,,
10949,675,55,0,0,656,51,20200313,19,4,0,0,,,,
10950,716,41,0,0,695,39,20200314,21,2,0,0,,,,
10951,780,64,135,135,623,-72,20200315,22,1,0,0,,,,
10952,814,34,157,22,633,10,20200316,24,2,0,0,,,,
10953,829,15,157,0,644,11,20200317,28,4,0,0,,,,
10954,898,69,157,0,710,66,20200318,31,3,0,0,,,,
10955,959,61,157,0,769,59,20200319,33,2,0,0,,,,
10956,969,10,157,0,778,9,20200320,34,1,0,0,,,,
10957,1054,85,215,58,803,25,20200321,36,2,0,0,,,,
10958,1101,47,215,0,845,42,20200322,41,5,0,0,,,,
10959,1140,39,285,70,813,-32,20200323,42,1,0,0,,,,
10960,1209,69,285,0,881,68,20200324,43,1,0,0,,,,
10961,1277,68,285,0,948,67,20200325,44,1,0,0,,,,
10962,1398,121,359,74,992,44,20200326,47,3,0,0,,,,
10963,1503,105,359,0,1093,101,20200327,51,4,0,0,,,,
10964,1724,221,372,13,1298,205,20200328,54,3,0,0,,,,
10965,1893,169,404,32,1433,135,20200329,56,2,0,0,,,,
10966,1944,51,404,0,1482,49,20200330,58,2,0,0,,,,
10967,2217,273,404,0,1747,265,20200331,66,8,0,0,,,,
10968,2494,277,404,0,2022,275,20200401,68,2,0,0,,,,
10969,2526,32,404,0,2051,29,20200402,71,3,0,0,,,,
10970,3129,603,404,0,2648,597,20200403,77,6,0,0,,,,
10971,3497,368,404,0,3009,361,20200404,84,7,0,0,,,,
10972,3858,361,404,0,3361,352,20200405,93,9,0,0,,,,
10973,4083,225,404,0,3582,221,20200406,97,4,0,0,,,,
10974,4459,376,404,0,3957,375,20200407,98,1,0,0,,,,
10975,4953,494,404,0,4451,494,20200408,98,0,0,0,,,,
10976,5548,595,404,0,5036,585,20200409,108,10,0,0,,,,
10977,6134,586,404,0,5611,575,20200410,119,11,0,0,,,,
10978,6903,769,404,0,6379,768,20200411,120,1,0,0,,,,
10979,7423,520,404,0,6881,502,20200412,138,18,0,0,,,,
10980,7688,265,404,0,7141,260,20200413,143,5,0,0,,,,
10981,8173,485,404,0,7607,466,20200414,162,19,0,0,,,,
10982,8488,315,404,0,7915,308,20200415,169,7,0,0,,,,
10983,9296,808,404,0,8702,787,20200416,190,21,0,0,,,,
10984,9788,492,404,0,9187,485,20200417,197,7,0,0,,,,
10985,9795,7,404,0,9194,7,20200418,197,0,0,0,,,,
10986,10807,1012,404,0,10165,971,20200419,238,41,0,0,,,,
10987,11152,345,1069,665,9822,-343,20200420,261,23,0,0,,,,
10988,11543,391,1069,0,10193,371,20200421,281,20,0,0,,,,
10989,11581,38,1069,0,10229,36,20200422,283,2,0,0,,,,
10990,12429,848,1069,0,11036,807,20200423,324,41,0,0,,,,
10991,12859,430,1069,0,11445,409,20200424,345,21,0,0,,,,
10992,13231,372,1069,0,11802,357,20200425,360,15,0,0,,,,
10993,13441,210,1069,0,12000,198,20200426,372,12,0,0,,,,
10994,13585,144,1069,0,12133,133,20200427,383,11,0,0,,,,
10995,13585,0,1069,0,12133,0,20200428,383,0,0,0,,,,
10996,13852,267,1069,0,12394,261,20200429,389,6,0,0,,,,
10997,14088,236,1069,0,12604,210,20200430,415,26,0,0,,,,
10998,14571,483,3466,2397,10624,-1980,20200501,481,66,0,0,,,,
10999,14571,0,3466,0,10624,0,20200502,481,0,0,0,,,,
11000,15068,497,3466,0,11071,447,20200503,531,50,0,0,,,,
11001,15253,185,3466,0,11231,160,20200504,556,25,0,0,,,,
11002,15253,0,3466,0,11231,0,20200505,556,0,0,0,,,,
11003,15253,0,3466,0,11231,0,20200506,556,0,0,0,,,,
11004,15575,322,3466,0,11519,288,20200507,590,34,0,0,,,,
11005,15663,88,3466,0,11591,72,20200508,606,16,0,0,,,,
11006,15777,114,3466,0,11687,96,20200509,624,18,0,0,,,,
11007,15847,70,8127,4661,7087,-4600,20200510,633,9,0,0,,,,
11008,15847,0,8127,0,7087,0,20200511,633,0,0,0,,,,
11009,16049,202,8920,793,6451,-636,20200512,678,45,0,0,,,,
11010,16103,54,8920,0,6487,36,20200513,696,18,0,0,,,,
11011,16171,68,8920,0,6549,62,20200514,702,6,0,0,,,,
11012,16249,78,8920,0,6602,53,20200515,727,25,0,0,,,,
