id,confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr
3367,1,1,0,0,1,1,20200130,0,0,0,0
3368,1,0,0,0,1,0,20200131,0,0,0,0
3369,1,0,0,0,1,0,20200201,0,0,0,0
3370,2,1,0,0,1,0,20200202,1,1,0,0
3371,2,0,0,0,1,0,20200203,1,0,0,0
3372,2,0,0,0,1,0,20200204,1,0,0,0
3373,3,1,0,0,2,1,20200205,1,0,0,0
3374,3,0,0,0,2,0,20200206,1,0,0,0
3375,3,0,0,0,2,0,20200207,1,0,0,0
3376,3,0,0,0,2,0,20200208,1,0,0,0
3377,3,0,0,0,2,0,20200209,1,0,0,0
3378,3,0,0,0,2,0,20200210,1,0,0,0
3379,3,0,0,0,2,0,20200211,1,0,0,0
3380,3,0,0,0,2,0,20200212,1,0,0,0
3381,3,0,0,0,2,0,20200213,1,0,0,0
3382,3,0,0,0,2,0,20200214,1,0,0,0
3383,3,0,0,0,2,0,20200215,1,0,0,0
3384,3,0,0,0,2,0,20200216,1,0,0,0
3385,3,0,0,0,2,0,20200217,1,0,0,0
3386,3,0,0,0,2,0,20200218,1,0,0,0
3387,3,0,0,0,2,0,20200219,1,0,0,0
3388,3,0,0,0,2,0,20200220,1,0,0,0
3389,3,0,0,0,2,0,20200221,1,0,0,0
3390,3,0,0,0,2,0,20200222,1,0,0,0
3391,3,0,0,0,2,0,20200223,1,0,0,0
3392,3,0,0,0,2,0,20200224,1,0,0,0
3393,3,0,0,0,2,0,20200225,1,0,0,0
3394,3,0,0,0,2,0,20200226,1,0,0,0
3395,3,0,0,0,2,0,20200227,1,0,0,0
3396,3,0,0,0,2,0,20200228,1,0,0,0
3397,3,0,0,0,2,0,20200229,1,0,0,0
3398,3,0,0,0,2,0,20200301,1,0,0,0
3399,3,0,0,0,2,0,20200302,1,0,0,0
3400,3,0,0,0,2,0,20200303,1,0,0,0
3401,3,0,0,0,2,0,20200304,1,0,0,0
3402,3,0,0,0,2,0,20200305,1,0,0,0
3403,5,2,0,0,4,2,20200306,1,0,0,0
3404,5,0,0,0,4,0,20200307,1,0,0,0
3405,6,1,0,0,5,1,20200308,1,0,0,0
3406,10,4,0,0,9,4,20200309,1,0,0,0
3407,33,23,0,0,32,23,20200310,1,0,0,0
3408,49,16,0,0,48,16,20200311,1,0,0,0
3409,52,3,0,0,50,2,20200312,2,1,0,0
3410,52,0,0,0,50,0,20200313,2,0,0,0
3411,64,12,0,0,62,12,20200314,2,0,0,0
3412,111,47,1,1,104,42,20200315,6,4,0,0
3413,140,29,1,0,127,23,20200316,12,6,0,0
3414,187,47,1,0,174,47,20200317,12,0,0,0
3415,187,0,1,0,174,0,20200318,12,0,0,0
3416,217,30,7,6,193,19,20200319,17,5,0,0
3417,230,13,7,0,205,12,20200320,18,1,0,0
3418,307,77,13,6,275,70,20200321,19,1,0,0
3419,380,73,17,4,338,63,20200322,25,6,0,0
3420,462,82,18,1,411,73,20200323,33,8,0,0
3421,552,90,20,2,497,86,20200324,35,2,0,0
3422,636,84,26,6,572,75,20200325,38,3,0,0
3423,707,71,28,2,634,62,20200326,45,7,0,0
3424,803,96,31,3,718,84,20200327,54,9,0,0
3425,1075,272,35,4,972,254,20200328,68,14,0,0
3426,1418,343,42,7,1305,333,20200329,71,3,0,0
3427,1546,128,42,0,1426,121,20200330,78,7,0,0
3428,2084,538,49,7,1947,521,20200331,88,10,0,0
3429,2311,227,50,1,2165,218,20200401,96,8,0,0
3430,2633,322,51,1,2475,310,20200402,107,11,0,0
3431,3018,385,52,1,2830,355,20200403,136,29,0,0
3432,3094,76,57,5,2893,63,20200404,144,8,0,0
3433,3246,152,64,7,3030,137,20200405,152,8,0,0
3434,3660,414,73,9,3424,394,20200406,163,11,0,0
3435,3764,104,84,11,3503,79,20200407,177,14,0,0
3436,3870,106,96,12,3592,89,20200408,182,5,0,0
3437,4076,206,124,28,3749,157,20200409,203,21,0,0
3438,4195,119,140,16,3834,85,20200410,221,18,0,0
3439,4428,233,157,17,4024,190,20200411,247,26,0,0
3440,4648,220,197,40,4154,130,20200412,297,50,0,0
3441,4932,284,242,45,4375,221,20200413,315,18,0,0
3442,5223,291,295,53,4593,218,20200414,335,20,0,0
3443,5453,230,353,58,4751,158,20200415,349,14,0,0
3444,5660,207,435,82,4863,112,20200416,362,13,0,0
3445,5878,218,487,52,5004,141,20200417,387,25,0,0
3446,6087,209,516,29,5174,170,20200418,397,10,0,0
3447,6259,172,572,56,5278,104,20200419,409,12,0,0
3448,6459,200,613,41,5418,140,20200420,428,19,0,0
3449,6599,140,654,41,5508,90,20200421,437,9,0,0
3450,6710,111,693,39,5571,63,20200422,446,9,0,0
3451,6981,271,722,29,5797,226,20200423,462,16,0,0
3452,7192,211,762,40,5953,156,20200424,477,15,0,0
3453,7294,102,792,30,6008,55,20200425,494,17,0,0
3454,7579,285,862,70,6216,208,20200426,501,7,0,0
3455,7777,198,932,70,6334,118,20200427,511,10,0,0
3456,7958,181,975,43,6453,119,20200428,530,19,0,0
3457,8212,254,1023,48,6631,178,20200429,558,28,0,0
3458,8488,276,1043,20,6877,246,20200430,568,10,0,0
3459,8772,284,1084,41,7109,232,20200501,579,11,0,0
3460,8928,156,1124,40,7201,92,20200502,603,24,0,0
3461,9223,295,1214,90,7402,201,20200503,607,4,0,0
3462,9485,262,1315,101,7547,145,20200504,623,16,0,0
3463,9684,199,1408,93,7639,92,20200505,637,14,0,0
3464,10004,320,1506,98,7840,201,20200506,658,21,0,0
3465,10343,339,1618,112,8040,200,20200507,685,27,0,0
3466,10463,120,1734,116,8033,-7,20200508,696,11,0,0
3467,10610,147,1842,108,8064,31,20200509,704,8,0,0
3468,10794,184,1924,82,8151,87,20200510,719,15,0,0
3469,11086,292,1999,75,8361,210,20200511,726,7,0,0
3470,11350,264,2106,107,8493,132,20200512,751,25,0,0
3471,11618,268,2251,145,8595,102,20200513,772,21,0,0
3472,11876,258,2337,86,8749,154,20200514,790,18,0,0
3473,12091,215,2460,123,8825,76,20200515,806,16,0,0
3474,12305,214,2561,101,8927,102,20200516,817,11,0,0
3475,12513,208,2635,74,9054,127,20200517,824,7,0,0
3476,12718,205,2729,94,9158,104,20200518,831,7,0,0
3477,12942,224,2843,114,9262,104,20200519,837,6,0,0
3478,13221,279,2932,89,9447,185,20200520,842,5,0,0
3479,13434,213,2932,0,9656,209,20200521,846,4,0,0
