id,confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,,,,
12192,1,1,0,0,1,1,20200121,0,0,0,0,,,,
12193,1,0,0,0,1,0,20200122,0,0,0,0,,,,
12194,1,0,0,0,1,0,20200123,0,0,0,0,,,,
12195,2,1,0,0,2,1,20200124,0,0,0,0,,,,
12196,2,0,0,0,2,0,20200125,0,0,0,0,,,,
12197,2,0,0,0,2,0,20200126,0,0,0,0,,,,
12198,4,2,0,0,4,2,20200127,0,0,0,0,,,,
12199,4,0,0,0,4,0,20200128,0,0,0,0,,,,
12200,4,0,0,0,4,0,20200129,0,0,0,0,,,,
12201,4,0,0,0,4,0,20200130,0,0,0,0,,,,
12202,11,7,0,0,11,7,20200131,0,0,0,0,,,,
12203,12,1,0,0,12,1,20200201,0,0,0,0,,,,
12204,15,3,0,0,15,3,20200202,0,0,0,0,,,,
12205,15,0,0,0,15,0,20200203,0,0,0,0,,,,
12206,16,1,0,0,16,1,20200204,0,0,0,0,,,,
12207,18,2,0,0,18,2,20200205,0,0,0,0,,,,
12208,23,5,0,0,23,5,20200206,0,0,0,0,,,,
12209,24,1,0,0,24,1,20200207,0,0,0,0,,,,
12210,24,0,0,0,24,0,20200208,0,0,0,0,,,,
12211,27,3,0,0,27,3,20200209,0,0,0,0,,,,
12212,27,0,0,0,27,0,20200210,0,0,0,0,,,,
12213,28,1,0,0,28,1,20200211,0,0,0,0,,,,
12214,28,0,0,0,28,0,20200212,0,0,0,0,,,,
12215,28,0,0,0,28,0,20200213,0,0,0,0,,,,
12216,28,0,0,0,28,0,20200214,0,0,0,0,,,,
12217,28,0,0,0,28,0,20200215,0,0,0,0,,,,
12218,29,1,0,0,29,1,20200216,0,0,0,0,,,,
12219,30,1,0,0,30,1,20200217,0,0,0,0,,,,
12220,31,1,0,0,31,1,20200218,0,0,0,0,,,,
12221,51,20,0,0,51,20,20200219,0,0,0,0,,,,
12222,104,53,0,0,103,52,20200220,1,1,0,0,,,,
12223,204,100,0,0,203,100,20200221,1,0,0,0,,,,
12224,346,142,0,0,344,141,20200222,2,1,0,0,,,,
12225,602,256,0,0,597,253,20200223,5,3,0,0,,,,
12226,763,161,0,0,756,159,20200224,7,2,0,0,,,,
12227,977,214,0,0,967,211,20200225,10,3,0,0,,,,
12228,1261,284,0,0,1249,282,20200226,12,2,0,0,,,,
12229,1766,505,0,0,1753,504,20200227,13,1,0,0,,,,
12230,2337,571,0,0,2324,571,20200228,13,0,0,0,,,,
12231,3150,813,0,0,3133,809,20200229,17,4,0,0,,,,
12232,3736,586,0,0,3718,585,20200301,18,1,0,0,,,,
12233,4212,476,0,0,4190,472,20200302,22,4,0,0,,,,
12234,4812,600,0,0,4784,594,20200303,28,6,0,0,,,,
12235,5328,516,0,0,5296,512,20200304,32,4,0,0,,,,
12236,5766,438,0,0,5731,435,20200305,35,3,0,0,,,,
12237,6284,518,0,0,6242,511,20200306,42,7,0,0,,,,
12238,6767,483,0,0,6723,481,20200307,44,2,0,0,,,,
12239,7134,367,0,0,7084,361,20200308,50,6,0,0,,,,
12240,7382,248,0,0,7331,247,20200309,51,1,0,0,,,,
12241,7513,131,0,0,7459,128,20200310,54,3,0,0,,,,
12242,7755,242,0,0,7695,236,20200311,60,6,0,0,,,,
12243,7869,114,0,0,7803,108,20200312,66,6,0,0,,,,
12244,7979,110,0,0,7913,110,20200313,66,0,0,0,,,,
12245,8086,107,0,0,8014,101,20200314,72,6,0,0,,,,
12246,8162,76,834,834,7253,-761,20200315,75,3,0,0,,,,
12247,8236,74,1137,303,7024,-229,20200316,75,0,0,0,,,,
12248,8320,84,1401,264,6838,-186,20200317,81,6,0,0,,,,
12249,8413,93,1540,139,6789,-49,20200318,84,3,0,0,,,,
12250,8652,239,2233,693,6325,-464,20200319,94,10,0,0,,,,
12251,8799,147,2612,379,6085,-240,20200320,102,8,0,0,,,,
12252,8897,98,2909,297,5884,-201,20200321,104,2,0,0,,,,
12253,8897,0,2909,0,5884,0,20200322,104,0,0,0,,,,
12254,8961,64,3166,257,5684,-200,20200323,111,7,0,0,,,,
12255,9037,76,3507,341,5410,-274,20200324,120,9,0,0,,,,
12256,9241,204,4144,637,4966,-444,20200325,131,11,0,0,,,,
12257,9332,91,4528,384,4665,-301,20200326,139,8,0,0,,,,
12258,9332,0,4528,0,4665,0,20200327,139,0,0,0,,,,
12259,9478,146,4811,283,4523,-142,20200328,144,5,0,0,,,,
12260,9583,105,5033,222,4398,-125,20200329,152,8,0,0,,,,
12261,9661,78,5228,195,4275,-123,20200330,158,6,0,0,,,,
12262,9887,226,5408,180,4314,39,20200331,165,7,0,0,,,,
12263,9887,0,5567,159,4155,-159,20200401,165,0,0,0,,,,
12264,9976,89,5828,261,3979,-176,20200402,169,4,0,0,,,,
12265,10156,180,6325,497,3654,-325,20200403,177,8,0,0,,,,
12266,10156,0,6325,0,3654,0,20200404,177,0,0,0,,,,
12267,10237,81,6463,138,3591,-63,20200405,183,6,0,0,,,,
12268,10284,47,6598,135,3500,-91,20200406,186,3,0,0,,,,
12269,10331,47,6694,96,3445,-55,20200407,192,6,0,0,,,,
12270,10423,92,6973,279,3246,-199,20200408,204,12,0,0,,,,
12271,10450,27,7117,144,3125,-121,20200409,208,4,0,0,,,,
12272,10450,0,7117,0,3125,0,20200410,208,0,0,0,,,,
12273,10480,30,7243,126,3026,-99,20200411,211,3,0,0,,,,
12274,10537,57,7447,204,2873,-153,20200412,217,6,0,0,,,,
12275,10564,27,7534,87,2808,-65,20200413,222,5,0,0,,,,
12276,10564,0,7534,0,2808,0,20200414,222,0,0,0,,,,
12277,10591,27,7616,82,2750,-58,20200415,225,3,0,0,,,,
12278,10635,44,7829,213,2576,-174,20200416,230,5,0,0,,,,
12279,10653,18,7937,108,2484,-92,20200417,232,2,0,0,,,,
12280,10661,8,8042,105,2385,-99,20200418,234,2,0,0,,,,
12281,10661,0,8042,0,2385,0,20200419,234,0,0,0,,,,
12282,10674,13,8114,72,2324,-61,20200420,236,2,0,0,,,,
12283,10683,9,8213,99,2233,-91,20200421,237,1,0,0,,,,
12284,10694,11,8277,64,2179,-54,20200422,238,1,0,0,,,,
12285,10708,14,8501,224,1967,-212,20200423,240,2,0,0,,,,
12286,10708,0,8501,0,1967,0,20200424,240,0,0,0,,,,
12287,10718,10,8501,0,1977,10,20200425,240,0,0,0,,,,
12288,10728,10,8717,216,1769,-208,20200426,242,2,0,0,,,,
12289,10738,10,8764,47,1731,-38,20200427,243,1,0,0,,,,
12290,10761,23,8922,158,1593,-138,20200428,246,3,0,0,,,,
12291,10761,0,8922,0,1593,0,20200429,246,0,0,0,,,,
12292,10765,4,9059,137,1459,-134,20200430,247,1,0,0,,,,
12293,10780,15,9123,64,1407,-52,20200501,250,3,0,0,,,,
12294,10780,0,9123,0,1407,0,20200502,250,0,0,0,,,,
