id,confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr
21021,2,2,0,0,2,2,20200124,0,0,0,0
21022,2,0,0,0,2,0,20200125,0,0,0,0
21023,2,0,0,0,2,0,20200126,0,0,0,0
21024,2,0,0,0,2,0,20200127,0,0,0,0
21025,2,0,0,0,2,0,20200128,0,0,0,0
21026,2,0,0,0,2,0,20200129,0,0,0,0
21027,2,0,0,0,2,0,20200130,0,0,0,0
21028,5,3,0,0,5,3,20200131,0,0,0,0
21029,6,1,0,0,6,1,20200201,0,0,0,0
21030,7,1,0,0,7,1,20200202,0,0,0,0
21031,8,1,0,0,8,1,20200203,0,0,0,0
21032,9,1,0,0,9,1,20200204,0,0,0,0
21033,10,1,0,0,10,1,20200205,0,0,0,0
21034,10,0,0,0,10,0,20200206,0,0,0,0
21035,12,2,0,0,12,2,20200207,0,0,0,0
21036,13,1,0,0,13,1,20200208,0,0,0,0
21037,14,1,0,0,14,1,20200209,0,0,0,0
21038,14,0,0,0,14,0,20200210,0,0,0,0
21039,15,1,0,0,15,1,20200211,0,0,0,0
21040,15,0,0,0,15,0,20200212,0,0,0,0
21041,16,1,0,0,16,1,20200213,0,0,0,0
21042,16,0,0,0,16,0,20200214,0,0,0,0
21043,16,0,0,0,16,0,20200215,0,0,0,0
21044,16,0,0,0,16,0,20200216,0,0,0,0
21045,16,0,0,0,16,0,20200217,0,0,0,0
21046,16,0,0,0,16,0,20200218,0,0,0,0
21047,16,0,0,0,16,0,20200219,0,0,0,0
21048,16,0,0,0,16,0,20200220,0,0,0,0
21049,16,0,0,0,16,0,20200221,0,0,0,0
21050,16,0,0,0,16,0,20200222,0,0,0,0
21051,16,0,0,0,16,0,20200223,0,0,0,0
21052,16,0,0,0,16,0,20200224,0,0,0,0
21053,16,0,0,0,16,0,20200225,0,0,0,0
21054,16,0,0,0,16,0,20200226,0,0,0,0
21055,16,0,0,0,16,0,20200227,0,0,0,0
21056,16,0,0,0,16,0,20200228,0,0,0,0
21057,16,0,0,0,16,0,20200229,0,0,0,0
21058,16,0,0,0,16,0,20200301,0,0,0,0
21059,16,0,0,0,16,0,20200302,0,0,0,0
21060,16,0,0,0,16,0,20200303,0,0,0,0
21061,16,0,0,0,16,0,20200304,0,0,0,0
21062,16,0,0,0,16,0,20200305,0,0,0,0
21063,16,0,0,0,16,0,20200306,0,0,0,0
21064,17,1,0,0,17,1,20200307,0,0,0,0
21065,21,4,0,0,21,4,20200308,0,0,0,0
21066,30,9,0,0,30,9,20200309,0,0,0,0
21067,31,1,0,0,31,1,20200310,0,0,0,0
21068,35,4,0,0,35,4,20200311,0,0,0,0
21069,39,4,0,0,39,4,20200312,0,0,0,0
21070,39,0,0,0,39,0,20200313,0,0,0,0
21071,48,9,0,0,48,9,20200314,0,0,0,0
21072,53,5,16,16,37,-11,20200315,0,0,0,0
