id,confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr
2721,2,2,0,0,2,2,20200302,0,0,0,0
2722,2,0,0,0,2,0,20200303,0,0,0,0
2723,2,0,0,0,2,0,20200304,0,0,0,0
2724,2,0,0,0,2,0,20200305,0,0,0,0
2725,2,0,0,0,2,0,20200306,0,0,0,0
2726,2,0,0,0,2,0,20200307,0,0,0,0
2727,4,2,0,0,4,2,20200308,0,0,0,0
2728,6,2,0,0,6,2,20200309,0,0,0,0
2729,19,13,0,0,19,13,20200310,0,0,0,0
2730,27,8,0,0,26,7,20200311,1,1,0,0
2731,34,7,0,0,33,7,20200312,1,0,0,0
2732,34,0,0,0,33,0,20200313,1,0,0,0
2733,69,35,0,0,66,33,20200314,3,2,0,0
2734,117,48,2,2,111,45,20200315,4,1,0,0
2735,117,0,2,0,111,0,20200316,4,0,0,0
2736,172,55,2,0,165,54,20200317,5,1,0,0
2737,172,0,2,0,165,0,20200318,5,0,0,0
2738,309,137,9,7,281,116,20200319,19,14,0,0
2739,369,60,9,0,328,47,20200320,32,13,0,0
2740,450,81,9,0,403,75,20200321,38,6,0,0
2741,514,64,9,0,457,54,20200322,48,10,0,0
2742,579,65,9,0,521,64,20200323,49,1,0,0
2743,686,107,9,0,627,106,20200324,50,1,0,0
2744,790,104,9,0,723,96,20200325,58,8,0,0
2745,893,103,9,0,806,83,20200326,78,20,0,0
2746,1046,153,9,0,950,144,20200327,87,9,0,0
2747,1155,109,35,26,1018,68,20200328,102,15,0,0
2748,1285,130,35,0,1136,118,20200329,114,12,0,0
2749,1414,129,64,29,1228,92,20200330,122,8,0,0
2750,1528,114,64,0,1328,100,20200331,136,14,0,0
2751,1677,149,64,0,1456,128,20200401,157,21,0,0
2752,1790,113,64,0,1556,100,20200402,170,13,0,0
2753,1986,196,64,0,1741,185,20200403,181,11,0,0
2754,2092,106,64,0,1837,96,20200404,191,10,0,0
2755,2273,181,64,0,2011,174,20200405,198,7,0,0
2756,2491,218,64,0,2218,207,20200406,209,11,0,0
2757,2738,247,64,0,2453,235,20200407,221,12,0,0
2758,2956,218,64,0,2652,199,20200408,240,19,0,0
2759,3293,337,64,0,2949,297,20200409,280,40,0,0
2760,3512,219,64,0,3142,193,20200410,306,26,0,0
2761,3842,330,64,0,3451,309,20200411,327,21,0,0
2762,4241,399,359,295,3509,58,20200412,373,46,0,0
2763,4241,0,359,0,3509,0,20200413,373,0,0,0
2764,4839,598,426,67,3954,445,20200414,459,86,0,0
2765,5136,297,426,0,4241,287,20200415,469,10,0,0
2766,5516,380,548,122,4472,231,20200416,496,27,0,0
2767,5923,407,607,59,4796,324,20200417,520,24,0,0
2768,6248,325,635,28,5078,282,20200418,535,15,0,0
2769,6575,327,686,51,5307,229,20200419,582,47,0,0
2770,6760,185,747,61,5423,116,20200420,590,8,0,0
2771,6760,0,747,0,5423,0,20200421,590,0,0,0
2772,7148,388,913,166,5600,177,20200422,635,45,0,0
2773,7775,627,960,47,6168,568,20200423,647,12,0,0
2774,8211,436,1002,42,6523,355,20200424,686,39,0,0
2775,8607,396,1042,40,6845,322,20200425,720,34,0,0
2776,8882,275,1107,65,7032,187,20200426,743,23,0,0
2777,9096,214,1151,44,7180,148,20200427,765,22,0,0
2778,9511,415,1254,103,7484,304,20200428,773,8,0,0
2779,9771,260,1391,137,7596,112,20200429,784,11,0,0
2780,10118,347,1522,131,7804,208,20200430,792,8,0,0
2781,10551,433,1591,69,8160,356,20200501,800,8,0,0
2782,10843,292,1665,74,8347,187,20200502,831,31,0,0
2783,11192,349,1876,211,8471,124,20200503,845,14,0,0
2784,11587,395,1954,78,8769,298,20200504,864,19,0,0
2785,12071,484,2197,243,9002,233,20200505,872,8,0,0
2786,12438,367,2317,120,9226,224,20200506,895,23,0,0
2787,12776,338,2381,64,9465,239,20200507,930,35,0,0
2788,13112,336,2494,113,9675,210,20200508,943,13,0,0
2789,13645,533,2607,113,10079,404,20200509,959,16,0,0
2790,14032,387,2698,91,10361,282,20200510,973,14,0,0
2791,14265,233,2881,183,10393,32,20200511,991,18,0,0
2792,14749,484,3063,182,10679,286,20200512,1007,16,0,0
2793,15438,689,3287,224,11123,444,20200513,1028,21,0,0
2794,16006,568,3518,231,11445,322,20200514,1043,15,0,0
2795,16496,490,3803,285,11617,172,20200515,1076,33,0,0
2796,17025,529,3911,108,12025,408,20200516,1089,13,0,0
2797,17520,495,4129,218,12243,218,20200517,1148,59,0,0
2798,18010,490,4324,195,12495,252,20200518,1191,43,0,0
2799,18496,486,4467,143,12808,313,20200519,1221,30,0,0
2800,19189,693,4575,108,13372,564,20200520,1242,21,0,0
2801,20162,973,4838,263,14046,674,20200521,1278,36,0,0
2802,20796,634,5057,219,14413,367,20200522,1326,48,0,0
2803,21745,949,5249,192,15145,732,20200523,1351,25,0,0
